date,cpd_crashes
2023-12-21,77
2023-12-22,65
2023-12-23,88
2023-12-24,65
2023-12-25,56
2023-12-26,59
2023-12-27,63
2023-12-28,51
2023-12-29,60
2023-12-30,62
2023-12-31,61
